name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"25.0173, 121.5398",2023-11-27T00:00:00,20,20,17,82.7,0.1,100,rain,0,0,23.4,5.8,157,1018,88,10,0,0,0,10,"Rain, Partially cloudy",rain,"RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-27T01:00:00,19.9,19.9,17.9,88.09,0,0,,0,0,22.7,5.4,156,1018,88,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-27T02:00:00,19.9,19.9,17.9,88.26,0,0,,0,0,20.2,7.6,137,1018,88,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-27T03:00:00,19,19,17.9,93.93,0,0,,0,0,18.7,5.6,79,1017,88,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-27T04:00:00,18.9,18.9,17.9,93.93,0,0,,0,0,16.2,7.6,80,1017,86.8,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-27T05:00:00,18.9,18.9,17.9,93.93,0.1,100,rain,0,0,13.3,7.6,80,1017,86,10,0,0,0,10,"Rain, Partially cloudy",rain,"RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-27T06:00:00,18.9,18.9,17,88.53,0,0,,0,0,15.8,11,78,1018,86,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-27T07:00:00,19,19,18,93.93,0,0,,0,0,18.4,7.8,79,1018,86,10,2,0,0,10,Partially cloudy,partly-cloudy-day,"RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-27T08:00:00,22,22,18,78.21,0,0,,0,0,18.4,11.3,89,1019,86,10,14,0.1,0,10,Partially cloudy,partly-cloudy-day,"RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-27T09:00:00,23,23,18,73.6,0,0,,0,0,18.4,16.8,98,1019,86,10,12,0,0,10,Partially cloudy,partly-cloudy-day,"RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-27T10:00:00,23.9,23.9,17.9,69.28,0,0,,0,0,16.2,18.5,78,1019,86,10,21,0.1,0,10,Partially cloudy,partly-cloudy-day,"RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-27T11:00:00,23.9,23.9,17,65.18,0,0,,0,0,13,22.4,78,1018,86,10,36,0.1,0,10,Partially cloudy,partly-cloudy-day,"RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-27T12:00:00,24.9,24.9,16,57.83,0,0,,0,0,10.8,24.1,88,1018,86,10,31,0.1,0,10,Partially cloudy,partly-cloudy-day,"RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-27T13:00:00,24.9,24.9,16,57.72,0.1,100,rain,0,0,10.4,24.1,88,1017,86.8,10,26,0.1,0,10,"Rain, Partially cloudy",rain,"RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-27T14:00:00,24,24,16,61.17,0,0,,0,0,12.2,22.2,78,1017,88,10,23,0.1,0,10,Partially cloudy,partly-cloudy-day,"RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-27T15:00:00,24,24,16,60.92,0,0,,0,0,12.2,20.5,79,1017,88,10,14,0.1,0,10,Partially cloudy,partly-cloudy-day,"RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-11-27T16:00:00,21.6,21.6,14.2,62.76,0,0,,0,0,13.7,12.6,65.2,1018,20.3,24.1,237,0.9,2,10,Partially cloudy,partly-cloudy-day,
"25.0173, 121.5398",2023-11-27T17:00:00,20.4,20.4,14,66.7,0,0,,0,0,16.2,12.2,66.6,1019,12.5,24.1,58,0.2,1,10,Clear,clear-day,
"25.0173, 121.5398",2023-11-27T18:00:00,19.7,19.7,13.9,69.2,0,0,,0,0,18.4,11.2,68.8,1020,4,24.1,0,0,0,10,Clear,clear-night,
"25.0173, 121.5398",2023-11-27T19:00:00,19.3,19.3,14,71.4,0,0,,0,0,20.5,10.8,76.1,1020,3.3,24.1,0,0,0,10,Clear,clear-night,
"25.0173, 121.5398",2023-11-27T20:00:00,18.9,18.9,14.1,73.68,0,0,,0,0,21.2,10.8,87,1021,2.1,24.1,0,0,0,10,Clear,clear-night,
"25.0173, 121.5398",2023-11-27T21:00:00,18.6,18.6,14.1,75.08,0,0,,0,0,23,11.5,94.8,1021,0.7,24.1,0,0,0,10,Clear,clear-night,
"25.0173, 121.5398",2023-11-27T22:00:00,18.3,18.3,14.1,76.5,0,0,,0,0,23.4,11.2,98.8,1021,4.4,24.1,0,0,0,10,Clear,clear-night,
"25.0173, 121.5398",2023-11-27T23:00:00,18.1,18.1,14.1,77.47,0,0,,0,0,22.7,10.4,99.6,1021,23.1,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"25.0173, 121.5398",2023-11-28T00:00:00,18.2,18.2,14.1,76.99,0,0,,0,0,23.8,10.4,97.5,1021,61.8,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"25.0173, 121.5398",2023-11-28T01:00:00,18.8,18.8,14,73.67,0,0,,0,0,24.5,12.6,94.1,1020,86,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"25.0173, 121.5398",2023-11-28T02:00:00,19,19,14.2,73.7,0,0,,0,0,23.8,11.5,91.1,1020,95.1,24.1,0,0,0,10,Overcast,cloudy,
"25.0173, 121.5398",2023-11-28T03:00:00,18.8,18.8,14.6,76.58,0,66.7,rain,0,0,24.8,11.9,89.6,1020,95.1,24.1,0,0,0,10,"Rain, Overcast",rain,
"25.0173, 121.5398",2023-11-28T04:00:00,18.8,18.8,14.8,77.58,0,66.7,rain,0,0,25.2,12.2,85.5,1020,94.3,24.1,0,0,0,10,"Rain, Overcast",rain,
"25.0173, 121.5398",2023-11-28T05:00:00,18.8,18.8,14.6,76.58,0,66.7,rain,0,0,27.4,13.7,84.3,1021,95.1,24.1,0,0,0,10,"Rain, Overcast",rain,
"25.0173, 121.5398",2023-11-28T06:00:00,18.8,18.8,13.9,73.19,0.1,66.7,rain,0,0,29.5,15.1,83.4,1021,77,24.1,0,0,0,10,"Rain, Partially cloudy",rain,
"25.0173, 121.5398",2023-11-28T07:00:00,18.9,18.9,13.2,69.49,0,66.7,rain,0,0,31,17.3,82.3,1022,26.9,23.9,13,0,0,10,"Rain, Partially cloudy",rain,
"25.0173, 121.5398",2023-11-28T08:00:00,19.7,19.7,12.7,63.99,0,66.7,rain,0,0,31,19.8,87.5,1023,6.8,24.1,155,0.6,2,10,Rain,rain,
"25.0173, 121.5398",2023-11-28T09:00:00,20.8,20.8,11.6,55.61,0,0,,0,0,32.4,23.8,94.5,1023,13.9,24.1,371,1.3,4,10,Clear,clear-day,
"25.0173, 121.5398",2023-11-28T10:00:00,21.6,21.6,11.4,52.25,0,0,,0,0,34.2,25.9,101.6,1023,7.4,24.1,532,1.9,5,10,Clear,clear-day,
"25.0173, 121.5398",2023-11-28T11:00:00,22.3,22.3,11.4,50.06,0,0,,0,0,35.3,27,102.9,1022,1.1,24.1,662,2.4,7,10,Clear,clear-day,
"25.0173, 121.5398",2023-11-28T12:00:00,22.6,22.6,11.4,49.16,0,0,,0,0,36,28.1,102.2,1021,1,24.1,725,2.6,7,10,Clear,clear-day,
"25.0173, 121.5398",2023-11-28T13:00:00,22.7,22.7,11.1,47.9,0,0,,0,0,36.7,28.4,99.5,1020,0.4,24.1,706,2.5,7,10,Clear,clear-day,
