name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"25.0173, 121.5398",2023-12-03T00:00:00,18,18,16,88.1,0,0,,0,0,30.6,25.8,79,1022,89,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T01:00:00,19,19,17,88.28,0,0,,0,0,28.8,24.2,79,1021,89,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T02:00:00,19,19,17.4,90.13,0,0,,0,0,22.3,24.9,89,1021.1,89,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T03:00:00,19,19,17,88.37,0,0,,0,0,20.2,26,88,1021,89,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T04:00:00,19,19,17,88.37,0.2,100,rain,0,0,20.2,22.5,89,1021,89,10,0,0,0,10,"Rain, Partially cloudy",rain,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T05:00:00,18.9,18.9,17.4,91.27,0,0,rain,0,0,20.5,24.3,90,1021.1,89,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T06:00:00,19,19,17,88.37,0.5,100,rain,0,0,23,24.2,88,1021,89,10,0,0,0,10,"Rain, Partially cloudy",rain,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T07:00:00,19,19,17,88.46,0.3,100,rain,0,0,25.6,26,88,1022,89,10,0,0,0,10,"Rain, Partially cloudy",rain,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T08:00:00,19,19,17.4,90.17,0,0,rain,0,0,25.9,23.1,96,1022.6,96.4,20,3,0,0,10,Overcast,cloudy,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T09:00:00,20,20,17,83.21,0,0,,0,0,25.2,24.4,89,1023,89,10,9,0,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T10:00:00,20,20,17,83.04,0.2,100,rain,0,0,26.3,22.7,89,1023,89,10,11,0,0,10,"Rain, Partially cloudy",rain,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T11:00:00,19.7,19.7,17.2,85.69,0,0,rain,0,0,27.7,23.1,96,1022.5,96.4,13.3,10,0,0,10,Overcast,cloudy,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T12:00:00,21,21,17,78.08,0.1,100,rain,0,0,53.6,35.3,89,1021,89,10,30,0.1,0,10,"Rain, Partially cloudy",rain,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T13:00:00,22,22,17,73.58,0,0,rain,0,0,28.8,27.9,79,1021,89,10,31,0.1,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T14:00:00,20.5,20.5,17.4,82.02,0,0,rain,0,0,28.1,32.1,89,1020.5,89.7,20,25,0.1,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T15:00:00,20,20,17,83.13,0,0,rain,0,0,26.6,27.8,89,1020,89,10,13,0,0,10,Partially cloudy,partly-cloudy-day,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T16:00:00,19,19,17,88.37,0.8,100,rain,0,0,25.2,26,88,1020,89,10,3,0,0,10,"Rain, Partially cloudy",rain,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T17:00:00,19,19,17,88.37,0.7,100,rain,0,0,25.2,24.3,89,1021,89,10,0,0,0,10,"Rain, Partially cloudy",rain,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T18:00:00,19,19,17,88.37,0.1,100,rain,0,0,28.8,26,98,1021,89,10,0,0,0,10,"Rain, Partially cloudy",rain,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T19:00:00,19,19,17,88.37,0.2,100,rain,0,0,29.5,24.2,89,1021,89,10,0,0,0,10,"Rain, Partially cloudy",rain,"46696099999,46686099999,RCSS,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T20:00:00,19.1,19.1,17.8,92.06,0,0,,0,0,28.1,21.9,103,1021.5,89,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,58968099999,F7053,RCTP"
"25.0173, 121.5398",2023-12-03T21:00:00,19,19,17,88.37,0,0,,0,0,31,24,98,1021,89,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"46696099999,46686099999,RCSS,F7053,RCTP"
